X,Y,OBJECTID,NOMBRE,ID,EXTERNO,DIRECCION,LOCALIDAD,ZONA_PLANEAMIENTO,EQUIPO,INTERSECCIONES_POR_EQUIPO,UBICACION,FECHA_INSTALACION,OPERACION,ZONA_AUTOMATICO,FUNCIONAMIENTO,IMPLEMENTACION,TIPO_INTER,GRUPOS_VEHICULARES,GRUPOS_BRT,GRUPOS_PEATONALES,GRUPOS_SONOROS,GRUPOS_CICLISTAS,FECHA_VIGENCIA,FUNCION_DETECTORES,DIRECCION_LARGA,BARRIO,CORREDOR,CLASIFICACION_INTERSECCION,ANO_INSTALACION,NOM_ESQUEMA,NOM_PLANEAMIENTO,NOM_ELECTRICO,URL_ESQUEMA,URL_PLANEAMIENTO,URL_NOM_ELECTRICO,GLOBALID
-74.0409232009999,4.70397834000005,202,1289,35,1289,KR 14 X AC 127,USAQUEN,NORTE 1,C900,SENCILLA,SI,2/06/2000,NORMAL,1212,RP-TF,DEFINITIVA,"VEHICULAR, PEATONAL","1,3,4,11",N/A,"21,23,24,211",7.217.237.247.211,NO,2021/02/27 00:00:01+00,Activación de sonoros,KR 14 X AV CALLEJAS (AC 127),LA CABRERA,NO,GRANDE,2000,1289_20210227_Esquema.pdf,1289_20210227_Planeamiento.pdf,1289_20210227_Electrico.pdf,,https://drive.google.com/file/d/1p6JMWClkbXoj_nzUxGdLz_jIVZSUnL5O/preview?usp=drivesdk,,560c48c8-8b77-4bb6-b4d3-31c188a155e3
-74.042777062,4.70409395700005,203,1290,43,1290,AK 15 X AC 127,USAQUEN,NORTE 1,C900,SENCILLA,SI,4/12/1997,NORMAL,1212,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL","1,2,3,4,6,92,93",N/A,"21,22,23,24,31,32,33,34",N/A,NO,2022/06/29 00:00:01+00,"Conteo, Brechas, Cola - Siguiente Intersección",AV PASEO DEL COUNTRY (AK 15) X AV CALLEJAS (AC 127),LA CAMELIA,NO,GRANDE,1997,1290_20220629_Esquema.pdf,1290_20220629_Planeamiento.pdf,1290_20220629_Electrico.pdf,,https://drive.google.com/file/d/18Kf8YfIrXWKIMOsIsNgrBiZikAJp2OpX/preview?usp=drivesdk,,4cc08bea-f50a-4cc4-8c85-913a3dd1fa62
-74.042872641,4.70225880800007,204,1291,45,1291,AK 15 X CL 124,USAQUEN,NORTE 1,C900,SENCILLA,SI,25/03/1993,NORMAL,1212,CA-TF,DEFINITIVA,EXCLUSIVA PEATONAL,"1,2",N/A,"21,22 (Exc)",N/A,NO,2021/02/27 00:00:01+00,N/A,AV PASEO DEL COUNTRY (AK 15) X CL 124,QUIROGA SUR,NO,PEQUEÑA,1993,1291_20210227_Esquema.pdf,1291_20210227_Planeamiento.pdf,1291_20210227_Electrico.pdf,,,,1a9600c1-0f36-436b-b67a-1cd0d036c7fb
-74.04317689,4.69635239900003,205,1292,50,1292,AK 15 X AC 116,USAQUEN,NORTE 1,C900,SENCILLA,SI,8/04/1997,NORMAL,1212,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL, BICIUSUARIOS","1,2,3,4",N/A,"21,22,23,24,31,32,33,34",N/A,43.44,2021/02/26 00:00:01+00,"Conteo, Brechas, Cola, Cola - Siguiente Intersección",AV PASEO DEL COUNTRY (AK 15) X AV PEPE SIERRA (AC 116),TEUSAQUILLO,NO,GRANDE,1997,1292_20210226_Esquema.pdf,1292_20210226_Planeamiento.pdf,1292_20210226_Electrico.pdf,,,,375b3901-c4af-41b8-a48e-a6beae9e2719
-74.044754927,4.69256402300005,206,1293,59,1293,AK 15 X CL 109,USAQUEN,NORTE 1,C900,DOBLE,SI,16/04/1996,NORMAL,1205,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL","1,3,4A,12",N/A,"21,23,24A,31,212,312",N/A,NO,2021/03/02 00:00:01+00,"Conteo, Brechas, Cola - Siguiente Intersección",AV PASEO DEL COUNTRY (AK 15) X CL 109,TEUSAQUILLO,NO,GRANDE,1996,1293_20210302_Esquema.pdf,1293_20210302_Planeamiento.pdf,1293_20210302_Electrico.pdf,,,,e294581a-eac5-4dbf-8969-8398d660b8e4
-74.0458769649999,4.69049989400003,207,1293,59,1293,AK 15 X CL 109,USAQUEN,NORTE 1,C900,DOBLE,NO,16/04/1996,NORMAL,1212,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL","2,3A,4,11",N/A,"22,23A,24,32,211,311",N/A,NO,2021/03/02 00:00:01+00,"Conteo, Brechas",AV PASEO DEL COUNTRY (AK 15) X CL 106,SANTA ROSA,NO,GRANDE,1996,1293_20210302_Esquema.pdf,1293_20210302_Planeamiento.pdf,1293_20210302_Electrico.pdf,,,,eb988521-65b0-42dd-b4df-29519b0b4f9e
-74.048164443,4.68488410100002,208,1294,83,1294,AK 15 X AC 100,CHAPINERO,NORTE 1,C900,SENCILLA,SI,9/03/1997,PMT,1214,BT-TF,DEFINITIVA,"VEHICULAR, PEATONAL, BICIUSUARIOS","1,2,3,4,11,12,13,14,112",N/A,"21,22,23,24,211,212,213,214",N/A,"43,44,413,414",2022/06/15 00:00:01+00,N/A,AV PASEO DEL COUNTRY (AK 15) X AV CARLOS LLERAS RESTREPO (AC 100),ALTOS DE CHOZICA,NO,MUY GRANDE,1997,1294_20220615_Esquema.pdf,1294_20220615_Planeamiento.pdf,1294_20220615_Electrico.pdf,,https://drive.google.com/file/d/1bkltFOHPAgv22xb5m4S3yw20zOVRHvwA/preview?usp=drivesdk,,610f54ac-d2e3-434c-8c1e-244d655dc7e1
-74.0505580449999,4.67943254200003,209,1295,104,1295,AK 15 X CL 94,CHAPINERO,NORTE 1,C900,SENCILLA,SI,26/06/1983,NORMAL,1904,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL","2,3,4",N/A,"22,24,33",N/A,NO,2021/02/20 00:00:01+00,"Conteo, Brechas, Cola - Siguiente Intersección",AV PASEO DEL COUNTRY (AK 15) X CL 94,SUCRE,NO,MEDIANA,1983,1295_20210220_Esquema.pdf,1295_20210220_Planeamiento.pdf,1295_20210220_Electrico.pdf,,,,24a2563a-d07c-48d6-b082-9cc0d6ae23e1
-74.051948545,4.67676002500002,210,1296,115,1296,AK 15 X CL 93,CHAPINERO,NORTE 1,C900,DOBLE,NO,3/06/1984,PMT,1904,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL","4A,12",N/A,"24A,212",N/A,NO,2022/06/30 00:00:01+00,"Conteo, Brechas",AV PASEO DEL COUNTRY (AK 15) X CL 93,ESTRELLA DEL NORTE,NO,PEQUEÑA,1984,1296_20220630_Esquema.pdf,1296_20220630_Planeamiento.pdf,1296_20220630_Electrico.pdf,,https://drive.google.com/file/d/1CKFbpGouPlosjRUxntgJrklzD9hg1adf/preview?usp=drivesdk,,9a4b26f2-6cb2-488b-84a1-4b68753d6f03
-74.052390665,4.67588117700006,211,1296,115,1296,AK 15 X CL 93,CHAPINERO,NORTE 1,C900,DOBLE,SI,3/06/1984,PMT,1904,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL, BICIUSUARIOS","2,3,4",N/A,"22,24,33",N/A,43.44,2022/06/29 00:00:01+00,"Conteo, Brechas",AV PASEO DEL COUNTRY (AK 15) X AV ALEJANDRO OBREGÓN (AC 92),BOSA NOVA EL PORVENIR,NO,MEDIANA,1984,1296_20220629_Esquema.pdf,1296_20220629_Planeamiento.pdf,1296_20220629_Electrico.pdf,,,,d3fb99d1-4e23-4694-9ebb-3c5791e5beb7
-74.0531348979999,4.67444906900005,212,1297,130,1297,AK 15 X CL 90,CHAPINERO,NORTE 1,C900,SENCILLA,SI,26/12/1984,NORMAL,1904,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL","2,3",N/A,"22,23",N/A,NO,2021/02/20 00:00:01+00,"Conteo, Brechas",AV PASEO DEL COUNTRY (AK 15) X CL 90,LA ALAMEDA,NO,PEQUEÑA,1984,1297_20210220_Esquema.pdf,1297_20210220_Planeamiento.pdf,1297_20210220_Electrico.pdf,,,,308f0cd1-21e4-4d52-bce5-87c405f0eeb4
-74.056380449,4.67795946700005,213,1298,161,1298,KR 19B X AC 92,CHAPINERO,NORTE 1,C900,SENCILLA,SI,29/10/1995,NORMAL,1904,RP-TF,DEFINITIVA,"VEHICULAR, PEATONAL","3,4,5,91",N/A,21,N/A,NO,2022/10/04 00:00:01+00,N/A,KR 19B X AV ALEJANDRO OBREGÓN (AC 92),COLOMBIA,NO,MEDIANA,1995,1298_20221004_Esquema.pdf,1298_20221004_Planeamiento.pdf,1298_20221004_Electrico.pdf,,https://drive.google.com/file/d/1UwgiJneGgMBF41Hwi6tAMTjussn471es/preview?usp=drivesdk,,bd7434c0-4523-401d-8b27-acd3f49e0864
-74.046947282,4.68883893000003,214,1299,74,1299,AK 15 X CL 104,USAQUEN,NORTE 1,C900,SENCILLA,SI,2/07/2000,NORMAL,1212,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL","1,2,3,4",N/A,"21,24,32,33",N/A,NO,2021/03/02 00:00:01+00,"Conteo, Brechas, Cola - Siguiente Intersección",AV PASEO DEL COUNTRY (AK 15) X CL 104,GALERIAS,NO,GRANDE,2000,1299_20210302_Esquema.pdf,1299_20210302_Planeamiento.pdf,1299_20210302_Electrico.pdf,,,,4a5dd51e-6e7a-4cb6-b619-4eacc389d51a
-74.0545370689999,4.67698821300007,215,1301,147,1301,KR 18 X AC 92,CHAPINERO,NORTE 1,C900,SENCILLA,SI,13/08/2004,NORMAL,1904,RP-TF,DEFINITIVA,"VEHICULAR, PEATONAL, BICIUSUARIOS","2,3,4",N/A,"22,24,33",N/A,43,2022/06/30 00:00:01+00,N/A,KR 18 X AV ALEJANDRO OBREGÓN (AC 92),PALERMO,NO,MEDIANA,2004,1301_20220630_Esquema.pdf,1301_20220630_Planeamiento.pdf,1301_20220630_Electrico.pdf,,https://drive.google.com/file/d/17eWuvcAqiKRIIE28imwgem8fug9QWdaB/preview?usp=drivesdk,,2baea853-7d94-4ec7-8154-e976b90eed4e
-74.0471203009999,4.71769042200003,216,1302,79,1302,AK 19 X AC 134,USAQUEN,NORTE 1,ACTROS,SENCILLA,SI,23/03/1997,NORMAL,1201,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL","1,2,3,4,7",N/A,"21,22,23,27,31,32,34",N/A,NO,2021/04/14 00:00:01+00,"Conteo, Brechas, Cola - Siguiente Intersección",AV SANTA BARBARA (AK 19) X AV CONTADOR (AC 134),SANTA BIBIANA,NO,MUY GRANDE,1997,1302_20210414_Esquema.pdf,1302_20210414_Planeamiento.pdf,1302_20210414_Electrico.pdf,https://drive.google.com/file/d/1z2mpv3oVCVb306sQa7ocpz_bqrgNPirq/preview?usp=drivesdk,https://drive.google.com/file/d/1-JxXZ6AYPHCDG3xh3jdFsbwDaWwlgH0v/preview?usp=drivesdk,,7131a89b-a03a-4f15-aad7-86ffbd851677
-74.0483676009999,4.70798240100004,217,1303,86,1303,AK 19 X CL 127B,USAQUEN,NORTE 1,ACTROS,TRIPE,NO,6/04/1997,NORMAL,1211,CA-TA,DEFINITIVA,EXCLUSIVA BICIUSUARIOS,112,N/A,NO,N/A,"41,4112 (Exc)",2022/05/25 00:00:01+00,N/A,AV SANTA BARBARA (AK 19) X CL 127B,SAN JOSE DE FONTIBON,NO,PEQUEÑA,1997,1303_20220525_Esquema.pdf,1303_20220525_Planeamiento.pdf,1303_20220525_Electrico.pdf,,https://drive.google.com/file/d/18_QTtT3h2FB1wRXnD9vOvrs26I0PpC-8/preview?usp=drivesdk,,f8cd2280-f70e-412c-ad02-9ae1a982c290
-74.0487886179999,4.70545294100003,218,1303,86,1303,AK 19 X CL 127B,USAQUEN,NORTE 1,ACTROS,TRIPE,SI,6/04/1997,NORMAL,1211,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL, BICIUSUARIOS","1,3,4,12",N/A,"21,24,31,33,212,312",N/A,411.412,2022/05/25 00:00:01+00,"Conteo, Brechas, Cola - Siguiente Intersección",AV SANTA BARBARA (AK 19) X AV CALLEJAS (AC 127),PORCIUNCULA,NO,GRANDE,1997,1303_20220525_Esquema.pdf,1303_20220525_Planeamiento.pdf,1303_20220525_Electrico.pdf,,https://drive.google.com/file/d/18_QTtT3h2FB1wRXnD9vOvrs26I0PpC-8/preview?usp=drivesdk,,20d7b610-407d-479c-9093-67294d5f3427
-74.0489460319999,4.70455833100004,219,1303,86,1303,AK 19 X CL 127B,USAQUEN,NORTE 1,ACTROS,TRIPE,NO,6/04/1997,NORMAL,1211,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL","2,3A,11",N/A,"22,23A,311",N/A,NO,2022/05/25 00:00:01+00,"Conteo, Brechas, Fases por demanda",AV SANTA BARBARA (AK 19) X CL 125,TIMIZA B,NO,MEDIANA,1997,1303_20220525_Esquema.pdf,1303_20220525_Planeamiento.pdf,1303_20220525_Electrico.pdf,,https://drive.google.com/file/d/18_QTtT3h2FB1wRXnD9vOvrs26I0PpC-8/preview?usp=drivesdk,,0160a5b6-b064-4420-84ed-39287f1c2f10
-74.049934959,4.69863953600003,220,1304,101,1304,AK 19 X AC 116,USAQUEN,NORTE 1,ACTROS,SENCILLA,SI,26/01/1998,NORMAL,1211,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL, BICIUSUARIOS","1,2,3,4,61,63",N/A,"21,22,23,24,31,32,33,34",N/A,"41,42,43,44",2021/02/26 00:00:01+00,"Conteo, Brechas, Cola - Siguiente Intersección",AV SANTA BARBARA (AK 19) X AV PEPE SIERRA (AC 116),EL CHICO,NO,GRANDE,1998,1304_20210226_Esquema.pdf,1304_20210226_Planeamiento.pdf,1304_20210226_Electrico.pdf,,https://drive.google.com/file/d/1GuD69YW0L64-3W93Nb8SA6WxvpdClmW2/preview?usp=drivesdk,,3ddfe1a5-bb8f-46ba-8772-1f0b5400076e
-74.050541441,4.69513239800006,221,1305,107,1305,AK 19 X CL 109,USAQUEN,NORTE 1,ACTROS,DOBLE,SI,22/06/1983,NORMAL,1211,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL, BICIUSUARIOS","1,3,4A,12",N/A,"21,23,24A,212,31,312",N/A,41.412,2021/02/26 00:00:01+00,"Conteo, Brechas, Cola - Siguiente Intersección",AV SANTA BARBARA (AK 19) X CL 109,SANTA LIBRADA,NO,GRANDE,1983,1305_20210226_Esquema.pdf,1305_20210226_Planeamiento.pdf,1305_20210226_Electrico.pdf,,https://drive.google.com/file/d/1oVXaOqeo2G5GKvCuSFs5h1En6sLU60Xt/preview?usp=drivesdk,,0488a816-981e-444b-bbe1-770be5d316c5
